year,fdi_percent_gdp
2000,4.16392407955693
2001,3.97733545270572
2002,3.99268705133996
2003,3.66601229989583
2004,3.54408107288199
2005,3.39040363930871
2006,3.61600090432522
2007,8.65471771434805
2008,9.6630390545572
2009,7.16881988884276
2010,5.4347392933443
2011,4.30487434902161
2012,4.27832287681174
2013,4.16454517277325
2014,3.94086189051961
2015,4.93190773329022
2016,4.90089302916746
2017,5.01148721749681
2018,4.99828319622328
2019,4.821074861051
2020,4.55836196782424
2021,4.27314566190187
2022,4.32947308910883
2023,4.26407109843686
2024,4.23394171325231
2025,
