year,labor_force
1985,
1986,
1987,
1988,
1989,
1990,31496153.0
1991,32320532.0
1992,33115526.0
1993,33938919.0
1994,34771003.0
1995,35609733.0
1996,36468498.0
1997,37016863.0
1998,37710949.0
1999,38384112.0
2000,38790735.0
2001,40511879.0
2002,41102232.0
2003,41746162.0
2004,42508994.0
2005,43513617.0
2006,44781401.0
2007,46296491.0
2008,47894666.0
2009,49267257.0
2010,50303014.0
2011,51197726.0
2012,51916391.0
2013,53209344.0
2014,53885546.0
2015,54628714.0
2016,54888312.0
2017,55533898.0
2018,56235855.0
2019,56180127.0
2020,55149609.0
2021,55299911.0
2022,56475416.0
2023,56381956.0
2024,56703936.0
2025,57041323.0
